,location,bath,balcony,price,bhk,total_area_in_sqrt
50,5th Phase JP Nagar,2.0,0.0,48.0,2,1000.0
51,5th Phase JP Nagar,2.0,1.0,75.0,3,1350.0
52,5th Phase JP Nagar,1.0,1.0,23.5,1,552.0
53,5th Phase JP Nagar,2.0,2.0,51.0,2,1200.0
57,5th Phase JP Nagar,2.0,2.0,57.0,2,1030.0
58,5th Phase JP Nagar,2.0,1.0,68.0,2,1200.0
59,5th Phase JP Nagar,2.0,2.0,61.8,2,1190.0
60,5th Phase JP Nagar,5.0,2.0,170.0,5,4000.0
61,5th Phase JP Nagar,2.0,1.0,53.0,2,1080.0
62,5th Phase JP Nagar,2.0,2.0,54.0,2,1041.0
63,5th Phase JP Nagar,2.0,1.0,42.0,2,812.0
64,5th Phase JP Nagar,2.0,2.0,57.0,2,1010.0
66,5th Phase JP Nagar,2.0,2.0,60.0,2,1075.0
67,6th Phase JP Nagar,2.0,2.0,74.0,2,1192.0
68,6th Phase JP Nagar,2.0,3.0,80.0,2,1180.0
69,6th Phase JP Nagar,4.0,2.0,250.0,4,3245.0
70,6th Phase JP Nagar,3.0,3.0,100.0,3,1645.0
71,6th Phase JP Nagar,2.0,2.0,65.0,2,1140.0
72,6th Phase JP Nagar,3.0,2.0,200.0,3,2040.0
73,6th Phase JP Nagar,2.0,1.0,63.0,2,1213.0
74,6th Phase JP Nagar,2.0,2.0,60.0,2,1216.0
75,6th Phase JP Nagar,2.0,2.0,80.0,2,1460.0
76,6th Phase JP Nagar,3.0,3.0,200.0,3,2003.0
77,6th Phase JP Nagar,3.0,3.0,131.0,3,1810.0
78,6th Phase JP Nagar,2.0,2.0,135.0,3,1515.0
79,6th Phase JP Nagar,2.0,3.0,75.0,2,1192.0
80,6th Phase JP Nagar,2.0,1.0,88.0,2,1280.0
81,7th Phase JP Nagar,2.0,2.0,72.0,2,1080.0
82,7th Phase JP Nagar,2.0,2.0,93.0,2,1270.0
83,7th Phase JP Nagar,2.0,1.0,100.0,3,1420.0
84,7th Phase JP Nagar,3.0,1.0,150.0,3,1850.0
85,7th Phase JP Nagar,2.0,1.0,94.0,2,1245.0
86,7th Phase JP Nagar,2.0,1.0,82.0,2,1175.0
87,7th Phase JP Nagar,2.0,1.0,95.0,3,1400.0
88,7th Phase JP Nagar,3.0,1.0,160.0,3,2225.0
89,7th Phase JP Nagar,2.0,1.0,71.0,2,1050.0
90,7th Phase JP Nagar,2.0,1.0,50.49,2,918.0
91,7th Phase JP Nagar,2.0,1.0,100.0,3,1450.0
92,7th Phase JP Nagar,2.0,2.0,96.0,3,1420.0
93,7th Phase JP Nagar,3.0,2.0,120.0,3,1680.0
94,7th Phase JP Nagar,2.0,2.0,69.0,2,980.0
95,7th Phase JP Nagar,2.0,2.0,72.0,2,1180.0
96,7th Phase JP Nagar,3.0,1.0,115.0,3,1400.0
97,7th Phase JP Nagar,2.0,1.0,83.0,2,1270.0
99,7th Phase JP Nagar,4.0,0.0,188.0,4,2503.0
101,7th Phase JP Nagar,2.0,2.0,110.0,3,1575.0
102,7th Phase JP Nagar,3.0,2.0,140.0,3,1850.0
103,7th Phase JP Nagar,2.0,2.0,120.0,3,1575.0
104,7th Phase JP Nagar,3.0,2.0,150.0,3,1850.0
105,7th Phase JP Nagar,3.0,2.0,120.0,3,1680.0
106,7th Phase JP Nagar,2.0,2.0,82.5,2,1175.0
109,7th Phase JP Nagar,2.0,2.0,90.0,2,1215.0
110,7th Phase JP Nagar,2.0,1.0,75.0,2,1050.0
111,7th Phase JP Nagar,3.0,2.0,89.13,3,1300.0
112,7th Phase JP Nagar,2.0,2.0,73.0,2,1130.0
113,7th Phase JP Nagar,3.0,2.0,100.0,3,1450.0
115,7th Phase JP Nagar,2.0,1.0,50.0,2,1050.0
116,7th Phase JP Nagar,2.0,1.0,87.0,2,1275.0
118,7th Phase JP Nagar,3.0,2.0,110.0,3,1650.0
119,7th Phase JP Nagar,2.0,2.0,42.0,2,850.0
120,7th Phase JP Nagar,3.0,2.0,117.0,3,1680.0
121,7th Phase JP Nagar,3.0,1.0,150.0,3,1850.0
122,7th Phase JP Nagar,2.0,2.0,61.33,2,1236.0
123,7th Phase JP Nagar,2.0,2.0,53.0,2,1000.0
124,7th Phase JP Nagar,3.0,2.0,125.0,3,1680.0
125,7th Phase JP Nagar,2.0,2.0,135.0,3,1675.0
126,7th Phase JP Nagar,2.0,1.0,59.0,2,1187.0
127,7th Phase JP Nagar,3.0,2.0,155.0,3,1850.0
128,7th Phase JP Nagar,2.0,1.0,61.0,2,1000.0
129,7th Phase JP Nagar,2.0,2.0,100.0,3,1460.0
130,7th Phase JP Nagar,3.0,3.0,110.0,3,1650.0
131,7th Phase JP Nagar,2.0,2.0,62.5,2,1200.0
132,7th Phase JP Nagar,2.0,1.0,70.65,2,1000.0
133,7th Phase JP Nagar,2.0,2.0,75.0,2,1080.0
135,7th Phase JP Nagar,3.0,3.0,125.0,3,1680.0
136,7th Phase JP Nagar,2.0,1.0,97.0,3,1460.0
137,7th Phase JP Nagar,2.0,2.0,65.0,2,1120.0
138,7th Phase JP Nagar,3.0,1.0,60.0,2,1100.0
139,7th Phase JP Nagar,3.0,3.0,120.0,3,1790.0
140,7th Phase JP Nagar,3.0,2.0,117.0,3,1680.0
141,7th Phase JP Nagar,2.0,1.0,77.0,2,1050.0
142,7th Phase JP Nagar,2.0,1.0,75.0,2,1050.0
143,7th Phase JP Nagar,2.0,1.0,75.0,2,1040.0
144,7th Phase JP Nagar,2.0,1.0,95.0,3,1400.0
145,7th Phase JP Nagar,3.0,2.0,130.0,3,1800.0
146,7th Phase JP Nagar,2.0,0.0,68.0,2,1050.0
147,7th Phase JP Nagar,2.0,2.0,60.0,2,1000.0
148,7th Phase JP Nagar,3.0,2.0,125.0,3,1680.0
149,7th Phase JP Nagar,2.0,1.0,77.47,2,1050.0
150,7th Phase JP Nagar,2.0,1.0,80.0,2,1270.0
151,7th Phase JP Nagar,3.0,2.0,122.0,3,1680.0
152,7th Phase JP Nagar,2.0,2.0,85.0,2,1130.0
153,7th Phase JP Nagar,3.0,3.0,130.0,3,1680.0
154,7th Phase JP Nagar,2.0,1.0,77.44,2,980.0
155,7th Phase JP Nagar,3.0,2.0,112.0,3,1680.0
157,7th Phase JP Nagar,3.0,2.0,150.0,3,2095.0
158,7th Phase JP Nagar,3.0,1.0,145.0,3,1976.0
159,7th Phase JP Nagar,2.0,2.0,110.0,3,1600.0
160,7th Phase JP Nagar,3.0,2.0,118.0,3,1765.0
161,7th Phase JP Nagar,2.0,2.0,88.0,3,1275.0
162,7th Phase JP Nagar,2.0,1.0,102.0,3,1450.0
163,7th Phase JP Nagar,2.0,2.0,110.0,3,1575.0
164,7th Phase JP Nagar,1.0,2.0,47.0,1,750.0
165,7th Phase JP Nagar,2.0,2.0,50.0,2,990.0
166,7th Phase JP Nagar,1.0,1.0,60.0,1,1000.0
168,7th Phase JP Nagar,2.0,1.0,102.0,3,1430.0
169,7th Phase JP Nagar,2.0,1.0,60.0,2,1128.0
170,7th Phase JP Nagar,2.0,1.0,57.0,2,1140.0
172,7th Phase JP Nagar,2.0,1.0,108.0,2,1530.0
173,8th Phase JP Nagar,2.0,0.0,54.005,2,1073.5
175,8th Phase JP Nagar,2.0,1.0,42.47,2,1062.0
177,8th Phase JP Nagar,3.0,2.0,73.31,3,1455.0
178,8th Phase JP Nagar,2.0,1.0,43.91,2,1098.0
179,8th Phase JP Nagar,3.0,1.0,80.0,3,1800.0
180,8th Phase JP Nagar,4.0,2.0,130.0,4,2700.0
181,8th Phase JP Nagar,2.0,2.0,38.0,2,1080.0
182,8th Phase JP Nagar,2.0,2.0,34.5,2,1059.0
183,8th Phase JP Nagar,2.0,2.0,35.0,2,1080.0
185,8th Phase JP Nagar,2.0,1.0,42.47,2,1062.0
186,8th Phase JP Nagar,1.0,1.0,31.0,1,500.0
187,8th Phase JP Nagar,2.0,2.0,35.0,2,1100.0
188,8th Phase JP Nagar,4.0,3.0,92.0,4,2100.0
189,8th Phase JP Nagar,2.0,1.0,39.33,2,1035.0
190,8th Phase JP Nagar,2.0,1.0,40.9,2,909.0
191,8th Phase JP Nagar,3.0,0.0,72.02,3,1431.5
192,8th Phase JP Nagar,4.0,1.0,90.0,3,1900.0
193,8th Phase JP Nagar,1.0,1.0,30.0,1,500.0
194,8th Phase JP Nagar,2.0,2.0,36.94,2,1125.0
195,8th Phase JP Nagar,2.0,3.0,35.0,2,1100.0
196,8th Phase JP Nagar,2.0,1.0,43.55,2,1089.0
197,8th Phase JP Nagar,2.0,2.0,65.0,3,1605.0
198,8th Phase JP Nagar,2.0,2.0,83.0,3,1504.0
199,8th Phase JP Nagar,4.0,2.0,115.0,4,2600.0
201,8th Phase JP Nagar,2.0,1.0,43.55,2,1089.0
203,8th Phase JP Nagar,2.0,3.0,62.0,2,1513.0
204,8th Phase JP Nagar,2.0,1.0,59.0,2,1298.0
205,8th Phase JP Nagar,2.0,0.0,44.0,2,1006.0
206,8th Phase JP Nagar,2.0,1.0,59.0,2,1245.0
207,8th Phase JP Nagar,2.0,3.0,80.0,2,1510.0
208,8th Phase JP Nagar,3.0,2.0,165.0,3,3300.0
211,8th Phase JP Nagar,2.0,1.0,48.0,2,1046.0
213,8th Phase JP Nagar,3.0,2.0,80.0,3,1408.0
215,9th Phase JP Nagar,2.0,1.0,50.0,2,1005.0
217,9th Phase JP Nagar,2.0,1.0,45.0,2,1035.0
218,9th Phase JP Nagar,4.0,3.0,290.0,4,5000.0
219,9th Phase JP Nagar,2.0,1.0,56.0,2,1164.0
220,9th Phase JP Nagar,2.0,1.0,42.0,2,1005.0
221,9th Phase JP Nagar,2.0,1.0,50.0,2,1127.0
222,9th Phase JP Nagar,2.0,1.0,43.0,2,1005.0
223,9th Phase JP Nagar,2.0,0.0,37.0,2,835.0
224,9th Phase JP Nagar,2.0,2.0,39.0,2,1050.0
225,9th Phase JP Nagar,2.0,2.0,71.0,2,1466.0
226,9th Phase JP Nagar,2.0,2.0,93.0,3,1890.0
227,9th Phase JP Nagar,2.0,1.0,60.0,2,1079.0
228,9th Phase JP Nagar,2.0,1.0,80.0,2,1480.0
229,9th Phase JP Nagar,2.0,1.0,52.36,2,1073.0
230,9th Phase JP Nagar,2.0,2.0,88.0,3,1719.3
231,9th Phase JP Nagar,3.0,2.0,88.0,3,1780.0
235,9th Phase JP Nagar,2.0,2.0,45.0,2,890.0
236,9th Phase JP Nagar,2.0,2.0,69.0,2,1331.95
237,AECS Layout,2.0,3.0,45.0,2,1100.0
238,AECS Layout,2.0,1.0,42.0,2,1028.0
239,AECS Layout,2.0,2.0,65.0,2,1199.0
240,AECS Layout,2.0,2.0,55.0,2,1080.0
241,AECS Layout,2.0,2.0,64.0,2,1123.0
242,AECS Layout,2.0,1.0,60.0,2,1308.0
243,AECS Layout,2.0,1.0,55.0,2,1005.0
245,Abbigere,2.0,1.0,40.39,2,985.0
246,Abbigere,2.0,2.0,30.0,1,765.0
247,Abbigere,2.0,1.0,35.0,2,880.0
248,Abbigere,2.0,1.0,39.59,2,1005.0
250,Abbigere,2.0,1.0,41.82,2,1020.0
251,Abbigere,2.0,1.0,40.39,2,985.0
252,Abbigere,6.0,0.0,81.0,6,2500.0
253,Abbigere,2.0,1.0,46.33,2,1130.0
254,Abbigere,2.0,1.0,38.92,2,985.0
255,Abbigere,2.0,1.0,41.0,2,1000.0
256,Abbigere,2.0,1.0,40.8,2,995.0
257,Abbigere,2.0,1.0,40.8,2,1020.0
258,Akshaya Nagar,2.0,3.0,57.0,2,1388.0
259,Akshaya Nagar,2.0,1.0,54.0,2,1070.0
260,Akshaya Nagar,2.0,2.0,58.0,2,1280.0
261,Akshaya Nagar,3.0,3.0,85.1,3,1662.0
262,Akshaya Nagar,3.0,2.0,120.0,3,1897.0
263,Akshaya Nagar,2.0,2.0,75.0,3,1410.0
264,Akshaya Nagar,2.0,2.0,85.0,3,1360.0
266,Akshaya Nagar,2.0,2.0,80.0,3,1410.0
267,Akshaya Nagar,3.0,2.0,85.0,3,1662.0
268,Akshaya Nagar,3.0,2.0,85.5,3,1662.0
269,Akshaya Nagar,2.0,1.0,60.0,2,1280.0
270,Akshaya Nagar,3.0,2.0,95.0,3,1666.0
271,Akshaya Nagar,3.0,2.0,90.0,3,1575.0
272,Akshaya Nagar,2.0,2.0,75.0,3,1430.0
273,Akshaya Nagar,2.0,3.0,73.0,3,1419.0
274,Akshaya Nagar,2.0,1.0,60.0,2,1280.0
275,Akshaya Nagar,2.0,1.0,50.0,2,1200.0
276,Akshaya Nagar,2.0,1.0,60.0,2,1092.0
277,Akshaya Nagar,3.0,2.0,85.0,3,1690.0
279,Akshaya Nagar,4.0,2.0,93.0,3,1897.0
280,Akshaya Nagar,3.0,3.0,98.0,3,1884.0
281,Akshaya Nagar,2.0,2.0,68.8,2,1314.0
282,Akshaya Nagar,3.0,2.0,85.0,3,1690.0
283,Akshaya Nagar,2.0,3.0,67.0,2,1265.0
284,Akshaya Nagar,2.0,1.0,55.0,2,1126.0
286,Akshaya Nagar,3.0,2.0,90.0,3,1662.0
287,Akshaya Nagar,2.0,2.0,75.0,3,1420.0
288,Akshaya Nagar,2.0,3.0,88.0,3,1412.0
289,Akshaya Nagar,3.0,3.0,84.0,3,1434.0
290,Akshaya Nagar,4.0,2.0,100.0,3,1890.0
292,Akshaya Nagar,2.0,3.0,87.0,3,1419.0
293,Akshaya Nagar,2.0,1.0,54.0,2,1300.0
294,Akshaya Nagar,3.0,2.0,85.0,3,1690.0
295,Akshaya Nagar,2.0,1.0,52.0,2,1113.0
296,Akshaya Nagar,4.0,2.0,95.0,3,1820.0
297,Akshaya Nagar,2.0,2.0,48.0,2,1100.0
298,Akshaya Nagar,3.0,2.0,102.0,3,1896.0
299,Akshaya Nagar,2.0,2.0,66.0,2,1300.0
300,Akshaya Nagar,2.0,0.0,68.0,2,1225.0
301,Akshaya Nagar,2.0,1.0,51.0,2,1179.0
302,Akshaya Nagar,2.0,2.0,73.0,3,1421.0
303,Akshaya Nagar,4.0,2.0,95.0,3,1893.0
304,Akshaya Nagar,2.0,1.0,45.0,2,900.0
305,Ambalipura,2.0,1.0,75.0,2,1105.0
306,Ambalipura,3.0,3.0,110.0,3,1800.0
307,Ambalipura,2.0,2.0,80.0,2,1150.0
308,Ambalipura,2.0,2.0,66.25,2,1250.0
309,Ambalipura,2.0,1.0,79.0,2,1332.0
310,Ambalipura,3.0,1.0,120.0,3,1730.0
312,Ambalipura,2.0,2.0,66.25,2,1230.0
313,Ambalipura,2.0,1.0,77.0,2,1351.0
317,Ambalipura,2.0,2.0,80.0,2,1303.0
318,Ambalipura,2.0,2.0,112.0,3,1607.0
319,Ambalipura,1.0,2.0,43.82,1,770.0
320,Ambalipura,2.0,2.0,76.0,2,1700.0
321,Ambalipura,2.0,1.0,58.5,2,1060.0
322,Ambalipura,3.0,3.0,100.0,3,1650.0
323,Ambalipura,2.0,2.0,112.0,3,1607.0
324,Ambalipura,2.0,2.0,80.0,2,1198.0
325,Ambedkar Nagar,4.0,2.0,130.0,3,1935.0
326,Ambedkar Nagar,2.0,2.0,90.0,2,1424.0
327,Ambedkar Nagar,4.0,2.0,169.0,3,2225.0
328,Ambedkar Nagar,3.0,2.0,120.0,3,1862.0
329,Ambedkar Nagar,4.0,3.0,139.0,3,1850.0
330,Ambedkar Nagar,4.0,2.0,126.0,3,1936.0
331,Ambedkar Nagar,3.0,2.0,119.0,3,1862.0
332,Ambedkar Nagar,2.0,2.0,90.0,2,1424.0
333,Ambedkar Nagar,4.0,2.0,125.0,3,2150.0
334,Ambedkar Nagar,4.0,2.0,290.0,4,3530.0
335,Ambedkar Nagar,3.0,1.0,120.0,3,1856.0
336,Ambedkar Nagar,3.0,2.0,130.0,3,1852.0
337,Ambedkar Nagar,4.0,2.0,120.0,3,1850.0
338,Ambedkar Nagar,2.0,2.0,86.0,2,1367.0
339,Ambedkar Nagar,4.0,3.0,255.0,4,3565.0
340,Ambedkar Nagar,2.0,2.0,95.0,2,1409.0
341,Ambedkar Nagar,4.0,2.0,120.0,3,1950.0
342,Ambedkar Nagar,4.0,3.0,129.0,3,1921.0
343,Ambedkar Nagar,4.0,2.0,121.0,3,1920.0
344,Ambedkar Nagar,4.0,2.0,125.0,3,1935.0
345,Ambedkar Nagar,4.0,2.0,122.0,3,1852.0
346,Ambedkar Nagar,4.0,2.0,120.0,3,1950.0
347,Ambedkar Nagar,3.0,2.0,125.0,3,1852.0
348,Ambedkar Nagar,4.0,2.0,121.0,3,1850.0
349,Ambedkar Nagar,2.0,1.0,94.0,2,1425.0
350,Ambedkar Nagar,4.0,2.0,150.0,3,2395.0
351,Amruthahalli,2.0,1.0,40.0,2,900.0
352,Amruthahalli,2.0,2.0,55.0,2,1200.0
353,Amruthahalli,3.0,1.0,135.0,3,1900.0
354,Amruthahalli,2.0,1.0,45.0,2,924.0
355,Amruthahalli,2.0,1.0,60.0,2,900.0
356,Amruthahalli,2.0,1.0,45.0,2,1100.0
357,Amruthahalli,2.0,1.0,55.0,2,1200.0
361,Amruthahalli,2.0,1.0,85.0,3,1450.0
362,Amruthahalli,2.0,2.0,55.0,2,1200.0
363,Amruthahalli,2.0,2.0,79.0,2,1250.0
364,Amruthahalli,2.0,2.0,50.0,2,1190.0
365,Amruthahalli,2.0,1.0,65.0,2,1202.0
366,Amruthahalli,2.0,1.0,75.0,2,1340.0
367,Amruthahalli,4.0,0.0,175.0,3,2650.0
368,Amruthahalli,2.0,1.0,90.0,3,1450.0
369,Amruthahalli,2.0,1.0,42.0,2,1025.0
370,Amruthahalli,1.0,1.0,19.5,1,485.0
371,Anandapura,2.0,1.0,43.76,2,1167.0
372,Anandapura,2.0,1.0,55.0,2,1000.0
373,Anandapura,2.0,1.0,42.79,2,1141.0
375,Anandapura,2.0,1.0,67.0,2,1200.0
376,Anandapura,2.0,1.0,58.0,2,1200.0
377,Anandapura,2.0,1.0,43.1,2,1151.0
378,Anandapura,2.0,1.0,42.75,2,1141.0
379,Anandapura,2.0,0.0,48.0,2,900.0
380,Anandapura,4.0,0.0,90.0,4,1749.0
381,Anandapura,2.0,1.0,42.9,2,1151.0
383,Anandapura,2.0,1.0,43.16,2,1151.0
384,Anandapura,2.0,0.0,58.0,2,1200.0
385,Anandapura,2.0,0.0,66.0,3,1200.0
386,Anandapura,2.0,1.0,74.0,3,1415.0
387,Anandapura,2.0,1.0,50.0,2,1200.0
388,Anandapura,2.0,1.0,50.0,2,1141.0
390,Ananth Nagar,1.0,1.0,14.0,1,500.0
391,Ananth Nagar,2.0,2.0,31.5,2,1100.0
392,Ananth Nagar,2.0,2.0,24.55,2,982.0
393,Ananth Nagar,2.0,2.0,14.0,1,500.0
394,Ananth Nagar,2.0,2.0,22.5,2,900.0
395,Ananth Nagar,2.0,1.0,26.0,2,908.0
396,Ananth Nagar,2.0,1.0,35.0,2,937.0
397,Ananth Nagar,2.0,3.0,37.0,2,960.0
398,Ananth Nagar,1.0,1.0,14.0,1,500.0
399,Ananth Nagar,2.0,1.0,29.7,2,1000.0
400,Ananth Nagar,2.0,1.0,25.99,2,850.0
401,Ananth Nagar,2.0,1.0,25.26,2,902.0
402,Ananth Nagar,3.0,2.0,54.0,3,1470.0
403,Ananth Nagar,2.0,1.0,25.5,2,810.0
404,Ananth Nagar,2.0,1.0,27.0,2,890.0
405,Ananth Nagar,2.0,1.0,36.0,2,1200.0
407,Ananth Nagar,3.0,1.0,42.0,3,1319.0
408,Ananth Nagar,2.0,3.0,25.0,2,1000.0
409,Ananth Nagar,2.0,2.0,25.0,2,902.0
410,Ananth Nagar,2.0,1.0,25.99,2,930.0
411,Ananth Nagar,2.0,2.0,26.85,2,1074.0
412,Ananth Nagar,1.0,1.0,14.0,1,500.0
413,Ananth Nagar,2.0,2.0,38.0,2,1010.0
414,Ananth Nagar,2.0,2.0,24.8,2,992.0
415,Anekal,1.0,1.0,36.0,2,1200.0
416,Anekal,1.0,1.0,16.5,1,600.0
417,Anekal,2.0,1.0,40.0,2,925.0
418,Anekal,1.0,1.0,18.0,1,530.0
419,Anekal,3.0,2.0,68.0,3,1800.0
420,Anekal,1.0,1.0,36.0,2,1200.0
421,Anekal,2.0,2.0,38.3,2,1035.0
422,Anekal,2.0,1.0,34.0,2,888.0
423,Anekal,2.0,1.0,36.1,2,1200.0
424,Anekal,1.0,1.0,36.0,2,1200.0
425,Anekal,1.0,1.0,36.0,2,1200.0
426,Anekal,1.0,1.0,36.0,2,1200.0
427,Anekal,1.0,1.0,11.5,1,400.0
428,Anekal,1.0,1.0,15.0,1,456.0
429,Anekal,1.0,1.0,36.0,2,1200.0
430,Anekal,1.0,1.0,36.0,2,1200.0
431,Anekal,4.0,0.0,95.0,3,2400.0
432,Anekal,2.0,1.0,36.1,2,1200.0
433,Anekal,2.0,1.0,36.1,2,1200.0
434,Anekal,1.0,1.0,12.5,1,420.0
435,Anekal,2.0,2.0,52.0,2,1140.0
436,Anjanapura,4.0,2.0,86.0,4,1850.0
437,Anjanapura,2.0,2.0,39.0,2,1070.0
438,Anjanapura,3.0,1.0,121.0,3,1500.0
439,Anjanapura,2.0,2.0,37.0,2,1070.0
440,Anjanapura,2.0,1.0,40.0,2,950.0
441,Anjanapura,2.0,2.0,45.0,3,1280.0
443,Anjanapura,2.0,0.0,32.0,2,950.0
444,Anjanapura,4.0,2.0,55.0,4,1800.0
445,Anjanapura,3.0,1.0,87.54,3,1843.0
446,Anjanapura,2.0,1.0,30.13,2,1076.0
447,Anjanapura,2.0,0.0,30.0,2,950.0
448,Ardendale,3.0,2.0,100.0,3,1750.0
449,Ardendale,4.0,3.0,200.0,4,3198.0
450,Ardendale,4.0,2.0,160.0,4,2422.0
451,Ardendale,3.0,3.0,100.0,3,1750.0
452,Ardendale,4.0,1.0,205.0,4,3200.0
453,Ardendale,3.0,2.0,95.0,3,1728.0
454,Ardendale,3.0,2.0,140.0,4,2062.0
455,Ardendale,3.0,2.0,92.0,3,1732.46
456,Ardendale,3.0,2.0,150.0,4,2062.0
458,Ardendale,2.0,2.0,70.0,2,1224.0
459,Ardendale,3.0,2.0,105.0,3,1777.26
460,Ardendale,3.0,3.0,82.0,3,1650.0
461,Ardendale,3.0,2.0,140.0,4,2062.0
462,Ardendale,3.0,3.0,82.0,3,1650.0
463,Ardendale,2.0,2.0,67.0,2,1224.0
464,Ardendale,3.0,2.0,95.0,3,1723.0
465,Ardendale,3.0,2.0,89.0,3,1777.26
466,Ardendale,3.0,2.0,92.0,3,1777.26
467,Arekere,3.0,2.0,140.0,3,2060.0
468,Arekere,2.0,1.0,40.0,2,920.0
469,Arekere,2.0,2.0,95.0,3,1740.0
470,Arekere,2.0,2.0,55.0,2,1190.0
471,Arekere,1.0,1.0,28.0,1,600.0
472,Arekere,3.0,2.0,108.0,3,2072.0
473,Arekere,2.0,2.0,55.0,2,1100.0
474,Arekere,2.0,3.0,50.0,2,900.0
475,Arekere,6.0,2.0,142.0,4,2710.0
476,Arekere,2.0,2.0,60.0,2,1240.0
477,Arekere,2.0,1.0,44.5,2,900.0
478,Attibele,1.0,1.0,11.0,1,450.0
479,Attibele,4.0,0.0,52.8,4,1600.0
480,Attibele,1.0,1.0,11.0,1,400.0
481,Attibele,1.0,1.0,12.0,1,400.0
482,Attibele,1.0,1.0,14.0,1,400.0
483,Attibele,1.0,1.0,17.0,1,500.0
484,Attibele,4.0,2.0,95.0,4,2168.0
485,Attibele,1.0,1.0,17.0,1,420.0
487,Attibele,1.0,1.0,12.0,1,418.0
488,Attibele,2.0,2.0,42.0,2,1200.0
489,Attibele,1.0,1.0,10.0,1,400.0
490,Attibele,1.0,1.0,25.0,2,850.0
491,Attibele,3.0,3.0,120.0,3,2400.0
492,Attibele,1.0,1.0,12.5,1,450.0
496,Attibele,1.0,0.0,19.55,1,782.0
498,Attibele,1.0,1.0,11.5,1,400.0
499,Attibele,1.0,1.0,13.0,1,460.0
500,Attibele,2.0,1.0,11.5,1,418.0
501,Attibele,2.0,1.0,42.0,2,1000.0
502,Attibele,1.0,1.0,11.5,1,550.0
504,Attibele,1.0,1.0,10.0,1,410.0
505,Attibele,3.0,1.0,65.0,3,1700.0
506,Attibele,1.0,1.0,10.25,1,400.0
507,Attibele,1.0,1.0,15.0,1,520.0
508,BEML Layout,2.0,1.0,55.0,2,1060.0
510,BEML Layout,2.0,3.0,45.0,2,999.0
511,BEML Layout,4.0,1.0,225.0,5,2400.0
513,BEML Layout,2.0,1.0,65.0,2,1194.0
514,BEML Layout,2.0,2.0,67.0,2,1200.0
515,BEML Layout,2.0,1.0,228.0,2,2400.0
